Baseline_data_(from_ENTSO-E_max_values),Assumption,Baseline_+_Assumption,Commentaries,source
3900.0,1.2,4680.0,,
3900.0,1.2,4680.0,,
3900.0,1.2,4680.0,,
3900.0,1.2,4680.0,,
3900.0,1.2,4680.0,,
2145.0,1.0,2145.0,,TIMES
2145.0,1.0,2145.0,,
3645.0,1.0,3645.0,,
3645.0,1.0,3645.0,,
3645.0,1.0,3645.0,,
3645.0,1.0,3645.0,,
3645.0,1.0,3645.0,,
3645.0,1.0,3645.0,,
600.0,1.0,600.0,,TIMES
600.0,1.0,600.0,,
600.0,1.2,720.0,20%increase,
600.0,1.2,720.0,,
600.0,1.2,720.0,,
600.0,1.2,720.0,,
600.0,1.2,720.0,,
600.0,1.2,720.0,,
1200.0,1.0,1200.0,,TIMES
1200.0,1.0,1200.0,,
1200.0,1.2,1440.0,20%increase,
1200.0,1.2,1440.0,,
1200.0,1.2,1440.0,,
1200.0,1.2,1440.0,,
1200.0,1.2,1440.0,,
1200.0,1.2,1440.0,,
500.0,1.0,500.0,,TIMES
500.0,1.0,500.0,,
500.0,1.2,600.0,20%increase,
500.0,1.2,600.0,,
500.0,1.2,600.0,,
500.0,1.2,600.0,,
500.0,1.2,600.0,,
500.0,1.2,600.0,,
1000.0,1.0,1000.0,,
1000.0,1.0,1000.0,,
2500.0,1.0,2500.0,,
2500.0,1.0,2500.0,,
2500.0,1.0,2500.0,,
2500.0,1.0,2500.0,,
2500.0,1.0,2500.0,,
2500.0,1.0,2500.0,,
1000.0,1.0,1000.0,,
1000.0,1.0,1000.0,,
4000.0,1.0,4000.0,,
4000.0,1.0,4000.0,,
4000.0,1.0,4000.0,,
4000.0,1.0,4000.0,,
4000.0,1.0,4000.0,,
4000.0,1.0,4000.0,,
990.0,1.0,990.0,,
990.0,1.0,990.0,,
990.0,1.0,990.0,,
990.0,1.0,990.0,,
2490.0,1.0,2490.0,1500MW2040,
2490.0,1.0,2490.0,,
2490.0,1.0,2490.0,,
2490.0,1.0,2490.0,,
600.0,1.0,600.0,,
600.0,1.0,600.0,,
600.0,1.0,600.0,,
600.0,1.0,600.0,,
2100.0,1.0,2100.0,1500MW2040,
2100.0,1.0,2100.0,,
2100.0,1.0,2100.0,,
2100.0,1.0,2100.0,,
1132.0,1.0,1132.0,,Electricityinterconnectionswithneighbouringcountries
1976.0,1.0,1976.0,844MW2025,https://tyndp-data.netlify.app/tyndp2018/projects/projects/144
1976.0,1.0,1976.0,,
1976.0,1.0,1976.0,,
3098.0,1.0,3098.0,1122MW2040,
3098.0,1.0,3098.0,,
3098.0,1.0,3098.0,,
3098.0,1.0,3098.0,,
2800.0,1.0,2800.0,,<--https://aleasoft.com/spain-imports-electricity-france-2018/
5000.0,1.0,5000.0,2200MW2025,
6500.0,1.0,6500.0,1500MW2030,
6500.0,1.0,6500.0,,
10000.0,1.0,10000.0,3500MW2040,
10000.0,1.0,10000.0,,
10000.0,1.0,10000.0,,
10000.0,1.0,10000.0,,
0.0,1.0,0.0,,NocapacityexpansionfromENTSO-E
0.0,1.0,0.0,,
0.0,1.0,0.0,,
0.0,1.0,0.0,,
0.0,1.0,0.0,,
0.0,1.0,0.0,,
0.0,1.0,0.0,,
0.0,1.0,0.0,,
4200.0,1.0,4200.0,,<--RedElectricaEspañola
6100.0,1.0,6100.0,1900MW2025,
6100.0,1.0,6100.0,,
6100.0,1.0,6100.0,,
10100.0,1.0,10100.0,4000MW2040,
10100.0,1.0,10100.0,,
