time,hour,dayofweek,month,East,North,West
2018-03-05 18:00:00,18,0,3,159902.52,122735.325,197121.57
2018-03-05 19:00:00,19,0,3,152789.715,118862.23999999999,191219.455
2018-03-05 20:00:00,20,0,3,144542.65249999997,113252.56000000001,181227.45249999998
2018-03-05 21:00:00,21,0,3,137859.5325,106335.395,172585.2225
2018-03-05 22:00:00,22,0,3,128716.36999999998,98413.365,165168.92250000002
2018-03-05 23:00:00,23,0,3,121276.4275,92100.23166666666,154955.80000000002
2018-03-06 00:00:00,0,1,3,117506.5775,89366.90499999998,148098.34
2018-03-06 01:00:00,1,1,3,115210.1175,87905.45500000002,144150.665
2018-03-06 02:00:00,2,1,3,115091.105,87207.29666666666,140592.975
2018-03-06 03:00:00,3,1,3,117800.175,87939.09833333333,140664.7125
2018-03-06 04:00:00,4,1,3,125700.09000000001,90818.78166666666,146468.3225
2018-03-06 05:00:00,5,1,3,140818.1625,97312.63833333335,162773.49
2018-03-06 06:00:00,6,1,3,151273.925,108234.85166666667,180124.6
2018-03-06 07:00:00,7,1,3,156303.07,114222.64499999999,193002.8025
2018-03-06 08:00:00,8,1,3,157612.04,116286.07,198620.49000000002
2018-03-06 09:00:00,9,1,3,156954.32499999998,117049.685,198867.1475
2018-03-06 10:00:00,10,1,3,158100.51750000002,116387.48166666667,197933.9225
2018-03-06 11:00:00,11,1,3,157124.5325,115950.78666666668,193810.81
2018-03-06 12:00:00,12,1,3,155502.36250000002,114941.42333333334,190771.9425
2018-03-06 13:00:00,13,1,3,153535.3775,114085.78166666665,188773.36250000002
2018-03-06 14:00:00,14,1,3,152548.99,113646.96333333333,187133.5775
2018-03-06 15:00:00,15,1,3,151155.54249999998,113335.72666666665,185773.9025
2018-03-06 16:00:00,16,1,3,153699.1725,115983.83499999999,186000.43000000002
2018-03-06 17:00:00,17,1,3,159553.785,119193.78333333335,191667.51499999998
2018-03-06 18:00:00,18,1,3,158782.18499999997,120981.24,199367.475
2018-03-06 19:00:00,19,1,3,151239.98500000002,117773.77666666667,193533.24000000002
2018-03-06 20:00:00,20,1,3,142438.63749999998,112657.61000000002,182934.605
2018-03-06 21:00:00,21,1,3,135522.05500000002,105982.53,174801.3075
2018-03-06 22:00:00,22,1,3,126609.8825,98563.68500000001,167212.13249999998
2018-03-06 23:00:00,23,1,3,120352.3125,92995.52666666666,156200.75499999998
2018-03-07 00:00:00,0,2,3,116332.69750000001,90789.73333333334,148877.40000000002
2018-03-07 01:00:00,1,2,3,113599.45,89109.65666666666,144592.3775
2018-03-07 02:00:00,2,2,3,113491.06750000002,88396.29,140857.99500000002
2018-03-07 03:00:00,3,2,3,116307.8175,88716.625,140662.59
2018-03-07 04:00:00,4,2,3,124277.61499999999,91500.52166666667,146887.8275
2018-03-07 05:00:00,5,2,3,139959.685,97596.51666666666,163297.58000000002
2018-03-07 06:00:00,6,2,3,150839.62500000003,107719.51166666666,180525.3025
2018-03-07 07:00:00,7,2,3,155979.62999999998,115086.97,193275.0975
2018-03-07 08:00:00,8,2,3,156299.9725,116980.07,198359.7675
2018-03-07 09:00:00,9,2,3,155527.97,117418.90333333332,197500.1325
2018-03-07 10:00:00,10,2,3,156355.0775,116356.91666666666,197136.29249999998
2018-03-07 11:00:00,11,2,3,156069.73500000002,115253.54166666666,193357.81
2018-03-07 12:00:00,12,2,3,155080.2125,113208.60999999999,190448.02750000003
2018-03-07 13:00:00,13,2,3,153186.1375,112758.965,187859.13749999998
2018-03-07 14:00:00,14,2,3,151270.96250000002,111801.07166666668,186174.31
2018-03-07 15:00:00,15,2,3,149979.57,111317.30833333333,184682.98249999998
2018-03-07 16:00:00,16,2,3,154076.905,114455.16666666664,184822.87
2018-03-07 17:00:00,17,2,3,160156.91,116638.07666666668,190755.8325
2018-03-07 18:00:00,18,2,3,159537.285,118767.18,199198.755
2018-03-07 19:00:00,19,2,3,152106.005,115704.955,194054.14250000002
2018-03-07 20:00:00,20,2,3,143958.7775,110782.28833333333,183961.005
2018-03-07 21:00:00,21,2,3,137131.77250000002,104213.30833333333,175662.07249999998
2018-03-07 22:00:00,22,2,3,128036.2275,97110.38833333332,168383.315
2018-03-07 23:00:00,23,2,3,120457.73499999999,90821.35333333333,158212.0525
2018-03-08 00:00:00,0,3,3,115767.66750000001,88727.77833333334,150796.6725
2018-03-08 01:00:00,1,3,3,113318.715,88126.06666666668,146461.21
2018-03-08 02:00:00,2,3,3,113536.3275,87376.63166666665,142815.4725
2018-03-08 03:00:00,3,3,3,116725.6075,87457.51166666667,142602.69999999998
2018-03-08 04:00:00,4,3,3,124390.02,89910.58,148482.84
2018-03-08 05:00:00,5,3,3,140219.15000000002,95622.70166666666,164548.5225
2018-03-08 06:00:00,6,3,3,150447.525,106379.59,180644.3875
2018-03-08 07:00:00,7,3,3,155389.73,113532.36666666665,191359.26249999998
2018-03-08 08:00:00,8,3,3,155841.0,114995.29833333334,195572.5775
2018-03-08 09:00:00,9,3,3,155903.39250000002,116502.02833333332,194839.185
2018-03-08 10:00:00,10,3,3,156648.125,115848.80500000001,193782.78000000003
2018-03-08 11:00:00,11,3,3,155418.0675,115387.57333333332,189511.205
2018-03-08 12:00:00,12,3,3,154252.02250000002,115148.40333333334,186703.42
2018-03-08 13:00:00,13,3,3,152304.1575,113474.51333333332,183990.82
2018-03-08 14:00:00,14,3,3,150636.26,111852.40666666668,180908.555
2018-03-08 15:00:00,15,3,3,149310.3225,111372.29166666667,179997.09249999997
